adj,noun,article,group
raspberry,coffee,NA,10
flat,paper,a,11
green,giraffe,a,12
wet,guy,a,13
icy,penguin,a,14
purple,lipstick,NA,15
purple,kangaroo,a,16
green,chair,a,17
pink,pant,a,18
red,cell,a,19
dead,pile,a,20
foamy,ball,a,1
red,rose,a,2
thick,olive,an,3
red,night,a,4
gold,helmet,a,5
brown,stick,a,6
flat,triangle,a,7
purple,mouth,a,8
bright,dad,a,9
green,fish,a,10
square,line,a,11
red,clay,NA,12
purple,wiggle,a,13
red,baby,a,14
green,jungle,a,15
red,tomato,a,16
pink,horse,a,17
red,log,a,18
green,bib,a,19
wooden,piece,a,20
orange,bird,a,1
hot,freezer,a,2
green,puppy,a,3
bright,yellow,a,4
yellow,coat,a,5
giant,robot,a,6
red,plant,a,7
thick,soup,NA,8
round,clock,a,9
light,phone,a,10
pink,scarf,a,11
plastic,noggin,a,12
purple,crayon,a,13
dead,head,a,14
red,camera,a,15
green,nose,a,16
dirty,dog,a,17
pink,yogurt,NA,18
purple,triangle,a,19
dirty,bib,a,20
purple,bowl,a,1
grey,cap,a,2
green,leg,a,3
green,shell,a,4
red,shop,a,5
ivory,tusk,a,6
red,popsicle,a,7
green,body,a,8
red,board,a,9
yellow,plate,a,10
pink,honey,NA,11
dead,battery,a,12
yellow,couch,a,13
light,horse,a,14
green,peanut,a,15
wet,hose,a,16
red,letter,a,17
red,button,a,18
dirty,laundry,NA,19
fuzzy,bone,a,20
green,cactus,a,1
gold,top,a,2
top,step,a,3
red,crayon,a,4
yellow,hair,a,5
silky,spider,a,6
slippery,balloon,a,7
orange,foot,a,8
purple,goldfish,a,9
purple,shoe,a,10
juicy,finger,a,11
hot,stove,a,12
sweaty,foot,a,13
green,elbow,an,14
wet,ball,a,15
wooden,train,a,16
yellow,balloon,a,17
dirty,kitchen,a,18
solid,line,a,19
pink,muffin,a,20
bottom,pajama,a,1
yellow,handle,a,2
soaking,shirt,a,3
bright,animal,an,4
flat,ball,a,5
green,pocket,a,6
concrete,flower,a,7
plastic,train,a,8
dirty,bottle,a,9
wet,underwear,NA,10
green,frosting,NA,11
slippery,sock,a,12
orange,mustache,a,13
orange,cracker,a,14
red,knob,a,15
gold,dragon,a,16
green,coat,a,17
naked,child,a,18
wet,boy,a,19
red,cup,a,20
cursive,letter,a,1
red,child,a,2
thick,walrus,a,3
giant,leg,a,4
red,shoe,a,5
flat,nose,a,6
yellow,necklace,a,7
yellow,tunnel,a,8
sweaty,cover,a,9
purple,car,a,10
orange,paint,NA,11
orange,stem,a,12
green,road,a,13
giant,worm,a,14
red,bait,a,15
green,star,a,16
plastic,kitchen,a,17
red,kitchen,a,18
hot,mud,NA,19
yellow,water,NA,20
red,cow,a,1
yellow,ribbon,a,2
yellow,tape,NA,3
orange,milk,NA,4
flat,tire,a,5
pink,pig,a,6
green,land,a,7
wooden,kitchen,a,8
dark,green,a,9
outside,honey,NA,10
pink,slipper,a,11
yellow,cup,a,12
purple,pear,a,13
green,wing,a,14
hot,coal,NA,15
wet,earth,NA,16
yellow,book,a,17
red,controller,a,18
bright,sky,a,19
soapy,chair,a,20
orange,leaf,a,1
dirty,shoe,a,2
pink,boot,a,3
square,hole,a,4
pink,piano,a,5
bright,edge,an,6
red,hair,a,7
